,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Education_Level,Marital_Status,Card_Category,Income_Category,Credit_Limit
85,716396358,Existing Customer,52,M,Graduate,Married,Blue,$60K - $80K,3085.0
86,715398033,Existing Customer,53,M,High School,Single,Blue,$120K +,19040.0
87,711743883,Existing Customer,43,F,Uneducated,Single,Blue,Less than $40K,4026.0
88,719720058,Existing Customer,44,M,High School,Single,Blue,$60K - $80K,12756.0
89,778992108,Existing Customer,57,M,Unknown,Married,Blue,$120K +,5266.0
90,717539808,Existing Customer,51,F,High School,Single,Blue,Less than $40K,9930.0
91,714070758,Existing Customer,49,M,High School,Single,Blue,$80K - $120K,31302.0
92,714107958,Existing Customer,45,M,Graduate,Single,Blue,$40K - $60K,6576.0
93,789140283,Existing Customer,53,M,Graduate,Single,Blue,$80K - $120K,2664.0
94,715550508,Existing Customer,45,F,Unknown,Married,Blue,Unknown,2535.0
95,719712633,Existing Customer,64,M,Graduate,Married,Blue,Less than $40K,1709.0
96,772629333,Existing Customer,45,M,Graduate,Married,Blue,$40K - $60K,3454.0
97,720336708,Existing Customer,53,M,Doctorate,Married,Blue,$40K - $60K,3789.0
98,802013583,Existing Customer,56,M,College,Married,Blue,$120K +,9689.0
99,711887583,Attrited Customer,47,M,Unknown,Married,Blue,$80K - $120K,5449.0
100,714778833,Existing Customer,49,F,College,Single,Blue,Unknown,23032.0
101,713843283,Existing Customer,41,F,Unknown,Married,Silver,Unknown,34516.0
102,779155158,Existing Customer,53,M,Graduate,Married,Blue,$120K +,2940.0
103,721091583,Existing Customer,44,F,Graduate,Single,Blue,Less than $40K,3031.0
104,713572683,Existing Customer,44,M,High School,Unknown,Blue,$60K - $80K,1862.0
105,716657058,Existing Customer,43,F,Post-Graduate,Married,Blue,Less than $40K,8358.0
106,779509983,Existing Customer,53,M,Post-Graduate,Single,Blue,$120K +,34516.0
107,717929133,Existing Customer,44,M,Uneducated,Married,Blue,$60K - $80K,14450.0
108,808284783,Existing Customer,62,F,Unknown,Married,Blue,Less than $40K,1438.3
109,708476808,Existing Customer,54,M,Unknown,Divorced,Blue,$120K +,33791.0
110,710916408,Existing Customer,57,M,Graduate,Married,Blue,$60K - $80K,8466.0
111,708492558,Existing Customer,42,M,Unknown,Married,Blue,$60K - $80K,15088.0
112,799825758,Existing Customer,42,M,High School,Divorced,Blue,$60K - $80K,3263.0
113,718619883,Existing Customer,54,F,Uneducated,Married,Blue,Less than $40K,1494.0
114,711844758,Existing Customer,48,M,Graduate,Single,Blue,$80K - $120K,13551.0
115,714798783,Existing Customer,49,M,Graduate,Single,Blue,$80K - $120K,18886.0
116,826762908,Existing Customer,52,M,High School,Unknown,Blue,$80K - $120K,11976.0
117,771894558,Existing Customer,50,M,High School,Single,Blue,$80K - $120K,9964.0
118,721074183,Existing Customer,49,M,Doctorate,Married,Blue,$60K - $80K,24159.0
119,715259583,Existing Customer,53,F,High School,Married,Blue,Less than $40K,5362.0
120,718414008,Existing Customer,50,M,Graduate,Single,Blue,$120K +,34516.0
121,719666283,Existing Customer,55,F,Doctorate,Married,Blue,Less than $40K,3174.0
122,714877233,Existing Customer,53,M,High School,Married,Blue,$80K - $120K,12262.0
123,785387883,Existing Customer,47,F,High School,Single,Blue,$40K - $60K,3788.0
124,771075258,Existing Customer,55,M,College,Single,Silver,$120K +,34516.0
125,711318033,Existing Customer,47,M,Graduate,Single,Blue,$60K - $80K,2926.0
126,783554958,Existing Customer,58,M,Graduate,Single,Blue,$120K +,32090.0
127,720201033,Attrited Customer,53,M,Graduate,Married,Blue,$80K - $120K,11669.0
128,718039683,Existing Customer,52,M,High School,Single,Blue,$40K - $60K,13532.0
129,710806083,Existing Customer,50,F,Uneducated,Unknown,Silver,Less than $40K,11888.0
130,714752208,Existing Customer,42,F,Graduate,Married,Blue,Less than $40K,2393.0
131,822063408,Existing Customer,43,M,Unknown,Married,Blue,$40K - $60K,6111.0
132,714490308,Existing Customer,57,M,Graduate,Married,Blue,$80K - $120K,19270.0
133,713356833,Existing Customer,52,M,Graduate,Married,Blue,$80K - $120K,3710.0
134,711402333,Existing Customer,47,M,Doctorate,Single,Blue,Less than $40K,3235.0
135,708296883,Existing Customer,44,F,Graduate,Single,Blue,$40K - $60K,11749.0
136,719154483,Existing Customer,53,M,High School,Divorced,Blue,$60K - $80K,7753.0
137,717721458,Existing Customer,45,M,College,Divorced,Blue,$60K - $80K,10408.0
138,711112683,Existing Customer,63,F,College,Married,Blue,Unknown,3967.0
139,715674483,Existing Customer,39,F,Post-Graduate,Single,Blue,Less than $40K,6205.0
140,789322833,Attrited Customer,48,F,High School,Married,Blue,Less than $40K,8025.0
141,789968058,Existing Customer,51,M,Unknown,Single,Blue,$120K +,9036.0
142,709919283,Existing Customer,54,M,Graduate,Married,Blue,$80K - $120K,14926.0
143,718744008,Existing Customer,59,F,Graduate,Single,Blue,Less than $40K,6335.0
144,767712558,Attrited Customer,59,M,College,Single,Blue,$60K - $80K,14979.0
145,712950783,Attrited Customer,48,F,Uneducated,Married,Blue,Less than $40K,2732.0
146,716104983,Existing Customer,41,F,Graduate,Single,Blue,Less than $40K,2250.0
147,818839983,Existing Customer,55,M,Graduate,Married,Blue,$120K +,10916.0
148,772288758,Existing Customer,47,F,Graduate,Married,Blue,Unknown,5349.0
149,712350858,Existing Customer,41,M,High School,Married,Blue,$80K - $120K,9366.0
150,711009708,Existing Customer,40,M,High School,Single,Blue,$80K - $120K,21617.0
151,712720158,Existing Customer,68,M,Graduate,Married,Blue,Unknown,13860.0
152,712215258,Existing Customer,50,F,Graduate,Single,Silver,$40K - $60K,18386.0
153,773827008,Existing Customer,47,M,Uneducated,Single,Blue,$60K - $80K,2405.0
154,795232683,Existing Customer,53,F,College,Married,Blue,Less than $40K,2154.0
155,713786508,Existing Customer,42,F,Unknown,Married,Blue,$40K - $60K,2038.0
156,713539833,Existing Customer,48,F,High School,Single,Blue,$40K - $60K,8135.0
157,712454058,Existing Customer,49,M,Doctorate,Married,Blue,$120K +,9364.0
158,718759833,Existing Customer,44,F,Uneducated,Married,Silver,Unknown,32643.0
159,718803333,Existing Customer,43,F,Graduate,Divorced,Blue,Less than $40K,3195.0
160,720253908,Existing Customer,56,M,High School,Married,Blue,$80K - $120K,2852.0
161,714133158,Existing Customer,59,F,College,Single,Blue,Unknown,4224.0
162,713187033,Existing Customer,46,M,Uneducated,Married,Blue,$60K - $80K,20459.0
163,714791208,Existing Customer,47,F,Unknown,Divorced,Blue,Less than $40K,3482.0
164,772426383,Existing Customer,50,F,Uneducated,Married,Blue,$40K - $60K,3065.0
165,710975883,Existing Customer,51,F,Uneducated,Married,Blue,Less than $40K,2185.0
166,714264408,Existing Customer,47,F,Uneducated,Married,Blue,Less than $40K,1611.0
167,715827858,Existing Customer,58,F,Uneducated,Married,Blue,Less than $40K,2822.0
168,713741358,Attrited Customer,46,M,Graduate,Single,Blue,$80K - $120K,32975.0
169,709531908,Existing Customer,53,M,High School,Married,Blue,$60K - $80K,1438.3
170,716493408,Existing Customer,45,F,Uneducated,Divorced,Blue,Unknown,15875.0
171,714141108,Existing Customer,52,F,High School,Married,Blue,Less than $40K,6703.0
172,708953883,Attrited Customer,53,M,Unknown,Married,Blue,$80K - $120K,3212.0
173,712608783,Existing Customer,50,M,High School,Married,Silver,$80K - $120K,34516.0
174,820353558,Existing Customer,41,F,High School,Married,Blue,$40K - $60K,9797.0
175,714964758,Existing Customer,45,F,Graduate,Divorced,Blue,$40K - $60K,10400.0
176,716264358,Existing Customer,53,M,Uneducated,Married,Blue,$80K - $120K,26792.0
177,717296808,Existing Customer,67,F,Graduate,Married,Blue,Less than $40K,3006.0
178,712977183,Existing Customer,57,F,Uneducated,Single,Silver,$40K - $60K,19482.0
179,710829108,Existing Customer,59,F,Uneducated,Married,Blue,$40K - $60K,3356.0
180,779562633,Existing Customer,45,M,Uneducated,Married,Blue,$40K - $60K,5771.0
181,715315833,Existing Customer,51,M,Graduate,Married,Blue,$80K - $120K,11106.0
182,815500983,Existing Customer,59,F,Uneducated,Married,Blue,Less than $40K,2890.0
183,719360583,Existing Customer,53,M,Graduate,Married,Blue,$60K - $80K,3380.0
184,709701558,Existing Customer,47,M,Graduate,Married,Blue,$60K - $80K,21331.0
185,721148358,Existing Customer,49,F,Uneducated,Single,Blue,Unknown,12860.0
186,779862408,Existing Customer,49,M,Post-Graduate,Single,Blue,$80K - $120K,6278.0
187,812627208,Existing Customer,60,F,College,Single,Blue,Less than $40K,1438.3
188,711033408,Existing Customer,50,F,High School,Married,Blue,Less than $40K,9355.0
189,779956608,Existing Customer,41,F,Post-Graduate,Married,Blue,Unknown,20758.0
190,780376683,Existing Customer,57,M,Graduate,Married,Blue,$80K - $120K,14612.0
191,717912483,Existing Customer,43,M,Graduate,Unknown,Blue,$80K - $120K,27259.0
192,714454758,Existing Customer,57,F,Graduate,Married,Blue,Less than $40K,6347.0
193,780466533,Existing Customer,54,M,Doctorate,Married,Blue,$120K +,21592.0
194,715735233,Existing Customer,51,F,Post-Graduate,Married,Blue,Less than $40K,3449.0
195,720476733,Existing Customer,47,F,High School,Married,Blue,Less than $40K,6028.0
196,715872333,Existing Customer,41,M,High School,Unknown,Blue,$120K +,18214.0
197,712375758,Existing Customer,53,M,Uneducated,Married,Blue,$80K - $120K,16393.0
198,708868233,Attrited Customer,68,M,High School,Married,Blue,Less than $40K,1438.3
199,718030083,Existing Customer,59,M,College,Married,Blue,$60K - $80K,7871.0
200,720707283,Existing Customer,48,M,Unknown,Married,Blue,$80K - $120K,5288.0
201,771698658,Existing Customer,44,M,Graduate,Married,Blue,$60K - $80K,11376.0
202,748326258,Existing Customer,48,M,College,Married,Blue,$80K - $120K,12302.0
203,770817783,Existing Customer,47,M,Graduate,Married,Silver,$60K - $80K,34516.0
204,779353083,Existing Customer,47,M,Graduate,Married,Silver,$60K - $80K,34516.0
205,711441333,Existing Customer,43,F,High School,Divorced,Silver,Less than $40K,10514.0
206,719808558,Attrited Customer,55,F,Graduate,Married,Blue,Less than $40K,1438.3
207,711551958,Attrited Customer,59,M,Post-Graduate,Married,Blue,$60K - $80K,1438.3
208,809164083,Existing Customer,63,M,Graduate,Married,Blue,$40K - $60K,2619.0
209,820596183,Existing Customer,58,M,College,Married,Blue,$120K +,24407.0
210,715999608,Existing Customer,53,F,High School,Married,Blue,Less than $40K,2377.0
211,710565408,Existing Customer,59,M,Unknown,Unknown,Silver,$80K - $120K,34516.0
212,805543158,Existing Customer,52,M,Graduate,Married,Blue,$120K +,11086.0
213,709752183,Existing Customer,48,M,High School,Single,Blue,$60K - $80K,11432.0
214,716479233,Existing Customer,43,M,High School,Married,Blue,$40K - $60K,13258.0
215,713837058,Existing Customer,48,M,College,Single,Blue,Less than $40K,2571.0
216,718876683,Existing Customer,43,F,Graduate,Single,Blue,Less than $40K,5781.0
217,770746908,Existing Customer,44,M,Unknown,Married,Blue,$60K - $80K,7872.0
218,794843883,Existing Customer,41,M,High School,Married,Blue,$80K - $120K,34516.0
219,803043933,Existing Customer,44,F,Uneducated,Divorced,Silver,Less than $40K,11127.0
220,758076408,Existing Customer,50,M,Unknown,Single,Blue,$40K - $60K,1857.0
221,714606558,Existing Customer,60,F,Uneducated,Married,Blue,Less than $40K,1913.0
222,778425408,Existing Customer,44,M,Graduate,Single,Blue,$80K - $120K,3839.0
223,714171108,Existing Customer,48,F,Graduate,Divorced,Blue,$40K - $60K,2115.0
224,719662458,Existing Customer,44,F,Graduate,Divorced,Blue,Less than $40K,1438.3
225,713137233,Existing Customer,41,M,High School,Single,Blue,$80K - $120K,27756.0
226,769425858,Existing Customer,45,M,College,Single,Blue,$60K - $80K,1438.3
227,711297483,Existing Customer,47,F,Uneducated,Divorced,Silver,Less than $40K,13878.0
228,788900883,Existing Customer,51,F,Graduate,Married,Blue,Less than $40K,3106.0
229,758348808,Existing Customer,51,M,Graduate,Married,Blue,$120K +,34516.0
230,772336458,Attrited Customer,60,F,Uneducated,Married,Blue,$40K - $60K,1438.3
231,708711483,Existing Customer,57,M,Unknown,Married,Blue,$80K - $120K,18871.0
232,717906783,Existing Customer,41,M,Graduate,Single,Blue,$120K +,5207.0
233,719437908,Existing Customer,44,M,Post-Graduate,Divorced,Blue,$80K - $120K,17965.0
234,769433508,Existing Customer,43,M,College,Single,Blue,$60K - $80K,2733.0
235,790096533,Existing Customer,55,M,College,Married,Blue,$60K - $80K,8863.0
236,720997383,Attrited Customer,52,M,Uneducated,Married,Blue,$80K - $120K,1857.0
237,787541883,Existing Customer,44,M,Graduate,Unknown,Blue,$80K - $120K,34516.0
238,709930758,Existing Customer,41,M,Uneducated,Married,Blue,$40K - $60K,11107.0
239,789830058,Existing Customer,44,M,Unknown,Single,Blue,$80K - $120K,21573.0
240,710299608,Attrited Customer,53,F,Unknown,Married,Blue,Less than $40K,2859.0
241,710741208,Existing Customer,39,M,High School,Single,Blue,$80K - $120K,5269.0
242,821797008,Attrited Customer,49,M,College,Married,Blue,$40K - $60K,1438.3
243,708874533,Attrited Customer,45,F,College,Married,Blue,Less than $40K,3387.0
244,715341858,Existing Customer,54,M,Graduate,Married,Blue,$80K - $120K,1982.0
245,793636308,Existing Customer,49,M,Uneducated,Single,Blue,$80K - $120K,4645.0
246,713779908,Existing Customer,46,F,Doctorate,Single,Blue,Unknown,2189.0
247,712125258,Attrited Customer,46,M,High School,Married,Blue,$120K +,2442.0
248,709703433,Existing Customer,47,M,Graduate,Married,Blue,$60K - $80K,21304.0
249,721022433,Existing Customer,44,M,Doctorate,Single,Blue,$60K - $80K,7577.0
250,710103558,Existing Customer,50,M,Post-Graduate,Single,Blue,$120K +,3234.0
251,715952883,Existing Customer,73,M,High School,Married,Blue,$40K - $60K,4469.0
252,719731458,Existing Customer,56,M,Unknown,Unknown,Blue,$40K - $60K,2910.0
253,772390908,Attrited Customer,59,M,High School,Single,Blue,$40K - $60K,3616.0
254,787348608,Existing Customer,70,M,High School,Married,Blue,Less than $40K,3252.0
255,709485033,Existing Customer,55,F,High School,Married,Blue,Less than $40K,2358.0
256,715432608,Existing Customer,43,M,Unknown,Single,Blue,$60K - $80K,22322.0
257,799471833,Existing Customer,45,M,Uneducated,Single,Blue,$120K +,3133.0
258,714187533,Existing Customer,45,F,Uneducated,Single,Blue,$40K - $60K,3540.0
259,779656908,Existing Customer,40,M,Graduate,Married,Blue,$40K - $60K,6990.0
260,788950158,Existing Customer,36,M,College,Unknown,Blue,$80K - $120K,34516.0
261,778867533,Attrited Customer,59,F,Post-Graduate,Married,Blue,$40K - $60K,1438.3
262,710620383,Existing Customer,43,M,Unknown,Married,Blue,$60K - $80K,24396.0
263,778661358,Existing Customer,46,F,Unknown,Married,Blue,Less than $40K,2474.0
264,789483333,Existing Customer,41,M,Uneducated,Married,Blue,$40K - $60K,5214.0
265,809855808,Existing Customer,51,F,Graduate,Married,Blue,Less than $40K,5207.0
266,718464258,Existing Customer,51,F,Unknown,Unknown,Blue,Less than $40K,9512.0
267,708528483,Existing Customer,43,F,Graduate,Divorced,Blue,Unknown,3187.0
268,771809733,Attrited Customer,64,F,High School,Married,Blue,$40K - $60K,3353.0
269,719942883,Existing Customer,54,M,Graduate,Married,Blue,$60K - $80K,2290.0
270,807226683,Existing Customer,48,M,Unknown,Single,Blue,$40K - $60K,5279.0
271,717806133,Existing Customer,40,M,Uneducated,Divorced,Blue,$60K - $80K,23603.0
272,720615708,Existing Customer,57,M,Uneducated,Married,Blue,$40K - $60K,2601.0
273,714511758,Existing Customer,45,M,Graduate,Single,Blue,$80K - $120K,6363.0
274,715050408,Existing Customer,41,M,High School,Single,Blue,$80K - $120K,8029.0
275,721132233,Existing Customer,42,F,Uneducated,Married,Blue,Less than $40K,2410.0
276,719211558,Attrited Customer,45,M,Graduate,Single,Blue,$60K - $80K,3401.0
277,712069008,Existing Customer,42,F,Uneducated,Married,Blue,Less than $40K,2260.0
278,715996983,Existing Customer,47,M,Uneducated,Divorced,Blue,$80K - $120K,17682.0
279,773466258,Existing Customer,48,F,High School,Married,Blue,$40K - $60K,4206.0
280,798983508,Existing Customer,43,M,Graduate,Single,Silver,$80K - $120K,34516.0
281,719117433,Existing Customer,41,M,High School,Unknown,Blue,$80K - $120K,23018.0
282,716451183,Existing Customer,54,F,Uneducated,Married,Blue,$40K - $60K,5556.0
283,718621608,Attrited Customer,54,F,High School,Married,Blue,Unknown,6094.0
284,715085733,Existing Customer,61,M,Graduate,Married,Blue,$40K - $60K,2939.0
285,788977833,Existing Customer,61,M,Uneducated,Married,Blue,$80K - $120K,5362.0
286,720272958,Attrited Customer,48,M,High School,Married,Blue,$120K +,27126.0
287,708421833,Existing Customer,45,F,Graduate,Single,Blue,Less than $40K,3342.0
288,709173108,Attrited Customer,54,F,Graduate,Married,Blue,Unknown,2532.0
289,709879458,Existing Customer,54,F,Doctorate,Married,Blue,Unknown,1900.0
290,715120608,Existing Customer,44,M,Graduate,Single,Blue,$60K - $80K,14546.0
291,770632758,Existing Customer,50,F,Doctorate,Single,Blue,Unknown,2521.0
292,779078733,Existing Customer,55,M,Doctorate,Married,Blue,$60K - $80K,16427.0
293,771742533,Existing Customer,48,M,Graduate,Unknown,Blue,$40K - $60K,13068.0
294,720250158,Existing Customer,45,M,College,Single,Blue,$60K - $80K,23218.0
295,716458983,Existing Customer,60,M,High School,Married,Blue,$40K - $60K,3281.0
296,713747733,Existing Customer,55,M,High School,Married,Blue,$40K - $60K,3096.0
297,712270158,Existing Customer,62,F,High School,Married,Blue,$40K - $60K,2052.0
298,789562383,Existing Customer,38,F,High School,Unknown,Blue,Less than $40K,1438.3
299,754897008,Existing Customer,46,M,High School,Single,Blue,$40K - $60K,9432.0
300,819700533,Existing Customer,50,M,High School,Single,Silver,$120K +,14938.0
301,712890408,Existing Customer,45,M,Uneducated,Married,Blue,$60K - $80K,2221.0
302,720248208,Existing Customer,47,M,Post-Graduate,Divorced,Blue,$60K - $80K,5731.0
303,779749908,Existing Customer,48,M,College,Married,Gold,$60K - $80K,34516.0
304,717401883,Existing Customer,35,M,Uneducated,Married,Blue,$60K - $80K,6985.0
305,721509558,Existing Customer,51,M,Graduate,Married,Blue,$120K +,24221.0
306,710572458,Existing Customer,36,F,High School,Married,Blue,Unknown,15439.0
307,714576183,Existing Customer,47,M,Graduate,Single,Blue,$80K - $120K,21637.0
308,721425558,Existing Customer,52,M,Graduate,Single,Blue,$120K +,14543.0
309,711109908,Existing Customer,43,F,Uneducated,Married,Blue,Less than $40K,9684.0
310,715203108,Existing Customer,63,M,High School,Married,Blue,$40K - $60K,5007.0
311,710027508,Existing Customer,61,M,Graduate,Married,Blue,$60K - $80K,1616.0
312,787464408,Existing Customer,53,M,Uneducated,Single,Blue,$60K - $80K,19116.0
313,783542133,Existing Customer,53,F,Graduate,Married,Blue,Less than $40K,2759.0
314,708330858,Attrited Customer,57,M,Graduate,Married,Blue,$120K +,8249.0
315,714426783,Existing Customer,38,F,Graduate,Single,Blue,Unknown,14041.0
316,712701333,Existing Customer,53,M,High School,Married,Blue,$60K - $80K,5264.0
317,709494483,Existing Customer,63,F,Unknown,Married,Blue,Less than $40K,2420.0
318,773373108,Existing Customer,49,F,High School,Married,Blue,Less than $40K,2826.0
319,715812258,Existing Customer,45,M,High School,Married,Blue,$80K - $120K,12518.0
320,778286433,Existing Customer,67,M,Graduate,Married,Blue,$40K - $60K,5876.0
321,789270033,Existing Customer,48,M,Graduate,Single,Silver,$80K - $120K,34516.0
322,711569433,Existing Customer,51,F,Uneducated,Divorced,Blue,Less than $40K,9648.0
323,720214833,Existing Customer,52,M,High School,Single,Silver,$80K - $120K,34516.0
324,709346133,Existing Customer,55,F,Uneducated,Married,Blue,Unknown,3025.0
325,788194458,Existing Customer,34,M,High School,Married,Blue,$60K - $80K,3265.0
326,720779733,Existing Customer,56,M,Uneducated,Married,Blue,$120K +,6041.0
327,717424458,Existing Customer,44,F,Post-Graduate,Married,Blue,Less than $40K,2293.0
328,708820308,Existing Customer,47,M,Post-Graduate,Unknown,Blue,$80K - $120K,13399.0
329,710558058,Existing Customer,46,F,Unknown,Married,Blue,Less than $40K,4317.0
330,770590758,Existing Customer,43,F,Graduate,Single,Blue,$40K - $60K,3378.0
331,718490658,Existing Customer,50,F,Graduate,Single,Blue,Less than $40K,5012.0
332,711985833,Existing Customer,38,F,Uneducated,Single,Blue,Less than $40K,2569.0
333,708967608,Existing Customer,53,F,Graduate,Single,Blue,Less than $40K,3471.0
334,718505958,Existing Customer,43,M,Graduate,Divorced,Silver,$120K +,34516.0
335,715024233,Existing Customer,53,M,High School,Married,Blue,$120K +,3312.0
